Project Name,Approved Budget,Start Date,End Date,TOR,Date Of Delivery,Other Relevant Information,Required Quantity,Procuring Entity
PROCUREMENT OF MEDICINES AND OTHER SUPPLIES,"618,697.00",2020-03-16,2020-03-16,gppbgovph.com/data/files/pr/1588744592507954875eb2519046ade_CCE05062020_0002.pdf,2020-03-17,gppbgovph.com/data/files/pr/158874459213794904005eb251907f74a_CCE05062020_0003.pdf,"1,787.00",LGU POLANCO
PROCUREMENT OF COMMERCIAL RICE,"13,859,800.00",2020-04-27,2020-04-27,gppbgovph.com/data/files/pr/158875676911112717125eb281211bc5f_CCE05062020_0002.pdf,2020-04-27,gppbgovph.com/data/files/pr/158875676910713536965eb2812151f48_CCE05062020_0003.pdf,"4,200.00",LGU POLANCO
PROCUREMENT OF OFFICE SUPPLIES,"112,470.00",2020-04-06,2020-04-06,gppbgovph.com/data/files/pr/158875938617069669355eb28b5aab317_CCE05062020_0001 Technical.pdf,2020-04-06,gppbgovph.com/data/files/pr/15887593864623369185eb28b5adac55_CCE05062020. Relevant.pdf,"11,061.00",LGU POLANCO
PROCUREMENT OF COMMERCIAL RICE,"13,859,800.00",2020-04-27,2020-04-27,gppbgovph.com/data/files/pr/158876135315671799625eb2930920beb_CCE05062020 Technical.pdf,2020-04-27,gppbgovph.com/data/files/pr/158876135311123832885eb2930963669_CCE05062020 Relevant.pdf,"2,000.00",LGU POLANCO
PROCUREMENT OF COMMERCIAL RICE,"13,859,800.00",2020-04-27,2020-04-27,gppbgovph.com/data/files/pr/158876265513368754155eb2981fb7aaa_CCE05062020 Technical.pdf,2020-04-27,gppbgovph.com/data/files/pr/158876265511313092345eb2981fe47a1_CCE05062020relevant.pdf,"4,500.00",LGU POLANCO
PROCUREMENT OF COMMERCIAL RICE,"13,859,800.00",2020-04-27,2020-04-27,gppbgovph.com/data/files/pr/15887637476558476155eb29c63b2c92_CCE05062020 Tech.pdf,2020-04-27,gppbgovph.com/data/files/pr/15887637472784614665eb29c63dd3e7_CCE05062020relevant.pdf,"1,013.00",LGU POLANCO
PROCUREMENT OF COMMON COMMODITIES,"668,875.00",2020-03-16,2020-03-16,gppbgovph.com/data/files/pr/158876520620153415605eb2a216d88ce_CCE05062020 Tech.pdf,2020-03-16,gppbgovph.com/data/files/pr/15887652079102016345eb2a2172e5b6_CCE05062020 Rele.pdf,931,LGU POLANCO
PROCUREMENT OF NOODLES AND CANNED GOODS,"767,780.00",2020-04-06,2020-04-06,gppbgovph.com/data/files/pr/158876600019005179445eb2a5305e236_CCE05062020 Tech.pdf,2020-04-06,gppbgovph.com/data/files/pr/158876600012648839135eb2a530a6eb6_CCE05062020 Rele.pdf,575,LGU POLANCO
PROCUREMENT OF DRIED FISH,"225,000.00",2020-04-27,2020-04-27,gppbgovph.com/data/files/pr/158891836810115846805eb4f86043844_img20200508_14035927.jpg,2020-04-27,gppbgovph.com/data/files/pr/158891836818726792255eb4f86088454_img20200508_14084135.jpg,"3,000.00",LGU POLANCO
PURCHASE OF COMMERCIAL RICE,"13,859,800.00",2020-04-27,2020-04-27,gppbgovph.com/data/files/pr/15889196485371759235eb4fd6044416_img20200508_14322053.jpg,2020-04-27,gppbgovph.com/data/files/pr/1588919648933488215eb4fd606835c_img20200508_14334438.jpg,334,LGU POLANCO
PROCUREMENT OF RAPID TEST KITS,"287,839.00",2020-05-11,2020-08-12,gppbgovph.com/data/files/pr/158916490415832559325eb8bb68265d0_SPECSRapidTests.pdf,2020-05-18,gppbgovph.com/data/files/pr/1589164904643370105eb8bb686f521_SPECSRapidTests.pdf,214,LGU TOBIAS FORNIER
PROCUREMENT OF MEALS,"58,000.00",2020-03-13,2020-03-13,gppbgovph.com/data/files/pr/158924463910653306025eb9f2df29ff8_img20200512_08383928.jpg,2020-03-13,gppbgovph.com/data/files/pr/15892446391881885265eb9f2df59e0f_img20200512_08444278.jpg,200,LGU POLANCO
