Project Name,Approved Budget,Start Date,End Date,TOR,Date Of Delivery,Other Relevant Information,Required Quantity,Procuring Entity
Procurement Of Medicines And Other Supplies,"PHP618,697",2020-03-16,2020-03-16,../Data/Files/Pr/1588744592507954875eb2519046ade_CCE05062020_0002.Pdf,2020-03-17,../Data/Files/Pr/158874459213794904005eb251907f74a_CCE05062020_0003.Pdf,"1,787.00",LGU POLANCO
Procurement Of Commercial Rice,"PHP13,859,800",2020-04-27,2020-04-27,../Data/Files/Pr/158875676911112717125eb281211bc5f_CCE05062020_0002.Pdf,2020-04-27,../Data/Files/Pr/158875676910713536965eb2812151f48_CCE05062020_0003.Pdf,"4,200.00",LGU POLANCO
Procurement Of Office Supplies,"PHP112,470",2020-04-06,2020-04-06,../Data/Files/Pr/158875938617069669355eb28b5aab317_CCE05062020_0001 Technical.Pdf,2020-04-06,../Data/Files/Pr/15887593864623369185eb28b5adac55_CCE05062020. Relevant.Pdf,"11,061.00",LGU POLANCO
Procurement Of Commercial Rice,"PHP13,859,800",2020-04-27,2020-04-27,../Data/Files/Pr/158876135315671799625eb2930920beb_CCE05062020 Technical.Pdf,2020-04-27,../Data/Files/Pr/158876135311123832885eb2930963669_CCE05062020 Relevant.Pdf,"2,000.00",LGU POLANCO
Procurement Of Commercial Rice,"PHP13,859,800",2020-04-27,2020-04-27,../Data/Files/Pr/158876265513368754155eb2981fb7aaa_CCE05062020 Technical.Pdf,2020-04-27,../Data/Files/Pr/158876265511313092345eb2981fe47a1_CCE05062020relevant.Pdf,"4,500.00",LGU POLANCO
Procurement Of Commercial Rice,"PHP13,859,800",2020-04-27,2020-04-27,../Data/Files/Pr/15887637476558476155eb29c63b2c92_CCE05062020 Tech.Pdf,2020-04-27,../Data/Files/Pr/15887637472784614665eb29c63dd3e7_CCE05062020relevant.Pdf,"1,013.00",LGU POLANCO
Procurement Of Common Commodities,"PHP668,875",2020-03-16,2020-03-16,../Data/Files/Pr/158876520620153415605eb2a216d88ce_CCE05062020 Tech.Pdf,2020-03-16,../Data/Files/Pr/15887652079102016345eb2a2172e5b6_CCE05062020 Rele.Pdf,931,LGU POLANCO
Procurement Of Noodles And Canned Goods,"PHP767,780",2020-04-06,2020-04-06,../Data/Files/Pr/158876600019005179445eb2a5305e236_CCE05062020 Tech.Pdf,2020-04-06,../Data/Files/Pr/158876600012648839135eb2a530a6eb6_CCE05062020 Rele.Pdf,575,LGU POLANCO
Procurement Of Dried Fish,"PHP225,000",2020-04-27,2020-04-27,../Data/Files/Pr/158891836810115846805eb4f86043844_img20200508_14035927.Jpg,2020-04-27,../Data/Files/Pr/158891836818726792255eb4f86088454_img20200508_14084135.Jpg,"3,000.00",LGU POLANCO
Purchase Of Commercial Rice,"PHP13,859,800",2020-04-27,2020-04-27,../Data/Files/Pr/15889196485371759235eb4fd6044416_img20200508_14322053.Jpg,2020-04-27,../Data/Files/Pr/1588919648933488215eb4fd606835c_img20200508_14334438.Jpg,334,LGU POLANCO
